Date;HeapFree;HeapSize;HeapFreePercent;HeapSizeMax
2017-10-13 01:32:42;295580120;411566080;75;477626368
2017-10-13 01:32:52;294950888;411566080;75;477626368
2017-10-13 01:33:02;294300440;411566080;75;477626368
2017-10-13 01:33:13;294300440;411566080;75;477626368
2017-10-13 01:33:23;293670512;411566080;75;477626368
2017-10-13 01:33:33;293670512;411566080;75;477626368
